time,temp
14.03.2023,3.31
13.03.2023,-3.06
12.03.2023,-4.17
11.03.2023,-9.23
10.03.2023,-10.12
09.03.2023,-6.44
08.03.2023,-3.56
07.03.2023,-6.94
06.03.2023,-4.27
05.03.2023,-1.42
04.03.2023,-0.96
03.03.2023,-0.23
02.03.2023,-1.10
01.03.2023,-2.38
28.02.2023,0.60
27.02.2023,-5.60
26.02.2023,-3.88
25.02.2023,-3.17
24.02.2023,-4.19
23.02.2023,-10.65
22.02.2023,-12.79
21.02.2023,-9.77
20.02.2023,-8.29
19.02.2023,-4.54
18.02.2023,-2.75
17.02.2023,-3.77
16.02.2023,0.04
15.02.2023,0.65
14.02.2023,0.83
13.02.2023,2.17
12.02.2023,-4.02
11.02.2023,-2.58
10.02.2023,-0.58
09.02.2023,0.88
08.02.2023,-0.12
07.02.2023,-2.60
06.02.2023,-1.90
05.02.2023,-6.02
04.02.2023,-3.31
03.02.2023,-3.85
02.02.2023,-0.98
01.02.2023,-0.12
31.01.2023,0.38
30.01.2023,1.17
29.01.2023,-0.38
28.01.2023,-4.48
27.01.2023,-1.62
26.01.2023,2.23
25.01.2023,0.85
24.01.2023,-2.52
23.01.2023,-4.50
22.01.2023,-3.52
21.01.2023,-3.04
20.01.2023,0.79
19.01.2023,2.00
18.01.2023,1.50
17.01.2023,0.93
16.01.2023,1.92
15.01.2023,2.31
14.01.2023,1.58
13.01.2023,0.19
12.01.2023,-3.67
11.01.2023,-2.35
10.01.2023,-6.90
09.01.2023,-10.54
08.01.2023,-17.21
07.01.2023,-10.60
06.01.2023,-11.19
05.01.2023,-12.19
04.01.2023,-4.52
03.01.2023,-2.27
02.01.2023,-1.52
01.01.2023,1.90
31.12.2022,2.90
30.12.2022,0.08
29.12.2022,-2.08
28.12.2022,-0.42
27.12.2022,-4.96
26.12.2022,-5.44
25.12.2022,-3.52
24.12.2022,-0.23
23.12.2022,1.38
22.12.2022,2.73
21.12.2022,-2.29
20.12.2022,-6.38
19.12.2022,-0.56
18.12.2022,-6.77
17.12.2022,-7.00
16.12.2022,-7.38
15.12.2022,-6.33
14.12.2022,-5.67
13.12.2022,-4.58
12.12.2022,-6.75
11.12.2022,-5.96
10.12.2022,-4.56
09.12.2022,-1.06
08.12.2022,-3.75
07.12.2022,-4.98
06.12.2022,-6.31
05.12.2022,-3.77
04.12.2022,-4.65
03.12.2022,-6.40
02.12.2022,-9.90
01.12.2022,-5.88
30.11.2022,-3.42
29.11.2022,-2.56
28.11.2022,-3.79
27.11.2022,-7.79
26.11.2022,-9.65
25.11.2022,-6.08
24.11.2022,-5.54
23.11.2022,-2.90
22.11.2022,-4.77
